Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,13.07045818,33.0619047619,41,7193,10120,3307,7,2968,bnb: **339** ; Total: **339**,0.00050064,9.99976287,0.282442173827,1.04196410792,0.07340969,0.0000221982733595,0.000278800000,0.073688490000,1,51,3.06017538555,3.49076324597,knapsack: **2352** ; srd: **616** ; bnb: **339**
bustabit-tiny-hot-wallet_peak-and-tail,12.20613199,32.6075454545,34,7533,10617,3467,7,3118,bnb: **349** ; Total: **349**,0.00050064,9.99976287,0.289737562245,1.04846720407,0.07789287,0.0000224669368330,0.000231200000,0.078124070000,1,51,3.06230170176,3.46154135625,knapsack: **2461** ; srd: **657** ; bnb: **349**
bustabit-tiny-hot-wallet_peak-and-tail,27.27160929,32.7314782609,46,7877,11090,3623,7,3259,bnb: **364** ; Total: **364**,0.00050064,9.99976287,0.289352779340,1.04715216460,0.08115264,0.0000223992934033,0.000312800000,0.081465440000,1,51,3.06099917196,3.43760022425,knapsack: **2577** ; srd: **682** ; bnb: **364**
bustabit-tiny-hot-wallet_peak-and-tail,15.42905067,32.4147500000,23,8204,11602,3796,7,3421,bnb: **375** ; Total: **375**,0.00050064,9.99976287,0.287716742955,1.03874755318,0.08440292,0.0000222346996839,0.000156400000,0.084559320000,1,51,3.05637513172,3.42300731957,knapsack: **2712** ; srd: **709** ; bnb: **375**
bustabit-tiny-hot-wallet_peak-and-tail,24.52438410,32.7368000000,48,8541,12061,3959,7,3568,bnb: **391** ; Total: **391**,0.00050064,9.99976287,0.283425222601,1.02516182616,0.08854173,0.0000223646703713,0.000326400000,0.088868130000,1,51,3.04647638292,3.40545620616,knapsack: **2823** ; srd: **745** ; bnb: **391**
bustabit-tiny-hot-wallet_peak-and-tail,20.82292463,32.9331538462,28,8875,12567,4125,7,3720,bnb: **405** ; Total: **405**,0.00050064,9.99976287,0.276098031347,1.00701695832,0.09116036,0.0000220994812121,0.000190400000,0.091350760000,1,51,3.04654545455,3.38934340370,knapsack: **2959** ; srd: **761** ; bnb: **405**
bustabit-tiny-hot-wallet_peak-and-tail,14.89464301,32.7240000000,22,9156,13063,4344,7,3929,bnb: **415** ; Total: **415**,0.00050064,9.99976287,0.272766670109,0.987036689844,0.09469712,0.0000217995211786,0.000149600000,0.094846720000,1,51,3.00713627993,3.33986239447,knapsack: **3135** ; srd: **794** ; bnb: **415**
bustabit-tiny-hot-wallet_peak-and-tail,21.57619619,32.8532142857,30,9452,13541,4548,8,4119,bnb: **429** ; Total: **429**,0.00050064,9.99976287,0.271003455424,0.972727219723,0.09900938,0.0000217698724714,0.000204000000,0.099213380000,1,51,2.97735268250,3.30631970880,knapsack: **3282** ; srd: **837** ; bnb: **429**
bustabit-tiny-hot-wallet_peak-and-tail,17.76620172,32.8332413793,28,9756,14033,4744,8,4305,bnb: **439** ; Total: **439**,0.00050064,9.99976287,0.267172026012,0.957755985258,0.10228758,0.0000215614629005,0.000190400000,0.102477980000,1,51,2.95805227656,3.26955597749,knapsack: **3438** ; srd: **867** ; bnb: **439**
bustabit-tiny-hot-wallet_peak-and-tail,18.08772833,32.7158666667,36,10038,14518,4962,8,4516,bnb: **446** ; Total: **446**,0.00050064,9.99976287,0.263565464174,0.941036484558,0.10698328,0.0000215605159210,0.000244800000,0.107228080000,1,51,2.92583635631,3.22978440656,knapsack: **3608** ; srd: **908** ; bnb: **446**
bustabit-tiny-hot-wallet_peak-and-tail,15.02725944,32.7013460646,21,10076,14611,5005,8,4556,bnb: **449** ; Total: **449**,0.00050064,9.99976287,0.262789893604,0.937577735068,0.10775743,0.0000215299560440,0.000142800000,0.107900230000,1,51,2.91928071928,3.22297499647,knapsack: **3636** ; srd: **920** ; bnb: **449**
